company,category,tier,fit_score,buyer_role,pain_hypothesis,public_signal,source_url,first_message_angle,status,next_step
خانومی,Beauty eCommerce,1,88,"مدیر رشد / CRM / CFO","هزینه بالای تخفیف در کمپین‌های پرترافیک و نیاز به تشخیص فروش incremental","گزارش کمپین BlackBeauty با رشد فروش ۲٫۲برابری و تخفیف سنگین","https://www.linkedin.com/company/khanoumi","چقدر از تخفیف BlackBeauty واقعا incremental بوده؟","برای بررسی","پیدا کردن Head of Growth یا CRM و ارسال پیام شخصی‌سازی‌شده"
اُکالا,Online Grocery,1,86,"مدیر رشد / Business Line Owner / BI","در سفارش بالا، درصد کوچک هدررفت مشوق عدد مالی بزرگ می‌سازد","رکورد ۳۰۰٬۶۵۰ سفارش در یک روز و ۱۹٬۰۰۰ کاربر جدید","https://www.linkedin.com/company/okala","کدام سگمنت با پوش کافی است و کدام مشوق قوی می‌خواهد؟","برای بررسی","پیام به رشد/CRM و پیشنهاد تحلیل aggregate کمپین قبلی"
دیجی‌کالا,Marketplace,1,84,"مدیر CRM / Growth / Marketplace","تخفیف در scale مارکت‌پلیس روی margin و فروشنده اثر مستقیم دارد","بیش از ۵ میلیون SKU، ۱۵۰ هزار فروشنده و ۴۰ میلیون کاربر فعال ماهانه در منبع عمومی","https://www.prnewswire.com/news-releases/digikala-is-the-largest-online-marketplace-in-iran-and-the-middle-east-301331520.html","کاهش هدررفت مشوق در scale مارکت‌پلیس","برای بررسی","شروع با معرفی گرم یا پیام به مدیر CRM/Growth"
اسنپ‌فود,Food Delivery,1,81,"CRM / Product Growth / Marketing Insight","بازگشت سفارش غذا می‌تواند با پیام، تخفیف کوچک یا مشوق قوی متفاوت جواب بدهد","صفحه شرکت از بیش از ۳۰ هزار رستوران و سفارش آنلاین غذا در سراسر ایران می‌گوید","https://www.linkedin.com/company/snappfood/","کدام کاربران با پوش برمی‌گردند و کدام‌ها نیاز به تخفیف دارند؟","برای بررسی","پیام کوتاه به Product/Marketing Insight"
اسنپ,Super App / Mobility,1,78,"Product Manager / Commercial / Growth","مشوق بین سرویس‌های پرتکرار باید بر اساس uplift و سود افزایشی تقسیم شود","صفحه جذب از ۳۰ میلیون مسافر و ۲ میلیون راننده و موقعیت‌های Product/Commercial/Marketing می‌گوید","https://snapp.recruitee.com/","تخصیص مشوق بین سرویس‌های پرتکرار سوپراپ","برای بررسی","تلاش برای معرفی گرم از محصول یا کامرشال"
باسلام,Social Marketplace,2,76,"Growth / Marketplace / Seller Success","مارکت‌پلیس اجتماعی می‌تواند برای فعال‌سازی خریدار و فروشنده نیاز به مشوق دقیق داشته باشد","صفحه شرکت از فروشگاه مستقل تولیدکنندگان و مدیریت فروش، تبلیغات و محتوا می‌گوید","https://www.linkedin.com/company/basalam","بازگشت خریدار بدون فشار بی‌دلیل روی margin فروشنده","برای بررسی","پیام به Growth یا Marketplace"
تپسی,Ride-hailing,2,72,"Growth / Product / Commercial","مشوق سفر یا بازگشت کاربر باید incremental باشد نه صرفا ارزان‌فروشی","صفحه شرکت روی پلتفرم حمل‌ونقل داده‌محور و sharing economy تاکید دارد","https://www.linkedin.com/company/tapsi","تشخیص سفرهای incremental در کمپین‌های فعال‌سازی","برای بررسی","بررسی مسیر معرفی گرم"
اسنپ‌پی,BNPL / Credit,2,70,"Growth / Partnership / Risk","فعال‌سازی خرید اعتباری ممکن است نیاز به مشوق/اعتبار هدفمند داشته باشد","صفحه تماس اسنپ‌پی سرویس BNPL ایران و شروع از سال ۱۳۹۹ را معرفی می‌کند","https://www.snapppay.com/contact-us","فعال‌سازی خرید اعتباری بدون مشوق غیرضروری","برای بررسی","پیام به partnership یا growth"
تکنولایف,Electronics eCommerce,2,68,"Marketing / CRM / Category","کالاهای کم‌حاشیه نیاز به کنترل دقیق تخفیف دارند","شواهد مستقیم کمتر؛ فعلا fit صنعتی است","https://www.technolife.ir","بهینه‌سازی تخفیف روی کالاهای کم‌حاشیه","برای بررسی","منبع عمومی بهتر و نقش دقیق پیدا شود"
مدیسه,Fashion eCommerce,2,66,"CRM / Marketing","Fashion معمولا تخفیف‌محور است و ریسک عادت‌دادن کاربر به تخفیف دارد","شواهد تازه کمتر از Tier 1؛ fit بر اساس دسته است","https://www.modiseh.com","جلوگیری از عادت‌دادن کاربر به تخفیف دائمی","برای بررسی","بعد از Tier 1 پیگیری شود"
